,title,price,location,link,type,latitude,longitude
0,"jewlery by the 5 pounds for $25 each vintage and antique. earrings, necklaces, b",,Charlottesville,https://charlottesville.craigslist.org/jwl/d/charlottesville-jewlery-by-the-pounds/7823431207.html,miscellaneous,38.029306,-78.4766781
1,ruby rose gold ring,,Charlottesville,https://charlottesville.craigslist.org/jwl/d/charlottesville-ruby-rose-gold-ring/7824105126.html,ring,38.029306,-78.4766781
2,seiko watch,,Spotsylvania,https://charlottesville.craigslist.org/jwl/d/spotsylvania-seiko-watch/7823041106.html,watch,38.1880936,-77.6741751
3,vintage monet gold tone black enamel pierced earrings,,,https://charlottesville.craigslist.org/jwl/d/quinque-vintage-monet-gold-tone-black/7823595047.html,earrings,,
4,reed and barton damascene choker and bracelet,,Earlysville,https://charlottesville.craigslist.org/jwl/d/earlysville-reed-and-barton-damascene/7818778068.html,bracelet,38.15482900000001,-78.46461702272728
5,new jeweled heart trinket box with hanger,,Earlysville,https://charlottesville.craigslist.org/jwl/d/earlysville-new-jeweled-heart-trinket/7818774505.html,box,38.15482900000001,-78.46461702272728
6,"> ladies ring - amethyst, diamonds & 10k gold, vintage piece <",,Charlottesville,https://charlottesville.craigslist.org/jwl/d/charlottesville-ladies-ring-amethyst/7820323473.html,ring,38.029306,-78.4766781
7,older jewelry box,,Louisa,https://charlottesville.craigslist.org/jwl/d/troy-older-jewelry-box/7822979233.html,box,37.9854441,-77.9486307
8,rare monticello gold-plated tie tac - unused,,faber,https://charlottesville.craigslist.org/jwl/d/faber-rare-monticello-gold-plated-tie/7822862748.html,miscellaneous,37.8315231,-78.7371019
9,10kt yellow gold blue topaz & diamond cocktail ring,,Ruckersville,https://charlottesville.craigslist.org/jwl/d/ruckersville-10kt-yellow-gold-blue/7822596090.html,ring,38.229988500000005,-78.37761464141897
10,vintage mother rhinestone enamel floral brooch pin,,,https://charlottesville.craigslist.org/jwl/d/earlysville-vintage-mother-rhinestone/7818718738.html,pin,,
11,"gold glass heart pendant crystal bead necklace 16 - 18"" & earrings",,Earlysville / Charlottesville,https://charlottesville.craigslist.org/jwl/d/earlysville-gold-glass-heart-pendant/7821875337.html,pendant,,
12,gold plated but fancy for the price,,Crozet,https://charlottesville.craigslist.org/jwl/d/greenwood-gold-plated-but-fancy-for-the/7821637508.html,miscellaneous,38.065017,-78.69089300253415
13,20g. perth mint gold in assay (see description,,Appomattox,https://charlottesville.craigslist.org/jwl/d/appomattox-20g-perth-mint-gold-in-assay/7821194195.html,assay,37.3535463,-78.8272687
14,diamond solitaire ring,,Ruckersville,https://charlottesville.craigslist.org/jwl/d/ruckersville-diamond-solitaire-ring/7818304870.html,ring,38.229988500000005,-78.37761464141897
15,rolex submariner w date 16610 excellent condition!!!,,Charlottesville,https://charlottesville.craigslist.org/jwl/d/charlottesville-rolex-submariner-date/7817825843.html,miscellaneous,38.029306,-78.4766781
16,musical jewelry box,,Louisa,https://charlottesville.craigslist.org/jwl/d/troy-musical-jewelry-box/7810859041.html,box,37.9854441,-77.9486307
17,heavy silver & turquoise bracelet,,Mill Creek,https://charlottesville.craigslist.org/jwl/d/charlottesville-heavy-silver-turquoise/7810510330.html,bracelet,38.0083811,-79.5463398
18,matte black oakley si crosshair sunglasses,,Ruckersville,https://charlottesville.craigslist.org/jwl/d/quinque-matte-black-oakley-si-crosshair/7816518334.html,sunglasses,38.229988500000005,-78.37761464141897
19,raymond weil gold plated watch,,Nellysford,https://charlottesville.craigslist.org/jwl/d/nellysford-raymond-weil-gold-plated/7809377790.html,watch,37.915688,-78.87899380697223
20,raymond weil 18k gold plated watch 9006,,Nellysford,https://charlottesville.craigslist.org/jwl/d/nellysford-raymond-weil-18k-gold-plated/7809386720.html,watch,37.915688,-78.87899380697223
21,porsche design automatic watch,,Nellysford,https://charlottesville.craigslist.org/jwl/d/nellysford-porsche-design-automatic/7808407669.html,watch,37.915688,-78.87899380697223
22,"silver puzzle ring, 4 bands, size 10.5",,Madison,https://charlottesville.craigslist.org/jwl/d/pratts-silver-puzzle-ring-bands-size-105/7815223920.html,miscellaneous,38.4114615,-78.2846634
23,bunch watches,,Louisa,https://charlottesville.craigslist.org/jwl/d/troy-bunch-watches/7808894989.html,miscellaneous,37.9854441,-77.9486307
24,14k white gold men's wedding band- newly purchased,,CULPEPER,https://charlottesville.craigslist.org/jwl/d/culpeper-14k-white-gold-mens-wedding/7807620482.html,miscellaneous,38.4912207,-77.9618216
